,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,3004930994.440505,-247916460.197627,199057432.702293,-3415860000.0
Tax Rate For Calcs,0.196144,0.135031,0.189579,0.21
Normalized EBITDA,150021000000.0,125651000000.0,88352000000.0,54618000000.0
Total Unusual Items,15320000000.0,-1836000000.0,1050000000.0,-16266000000.0
Total Unusual Items Excluding Goodwill,15320000000.0,-1836000000.0,1050000000.0,-16266000000.0
Net Income From Continuing Operation Net Minority Interest,77670000000.0,59248000000.0,30425000000.0,-2722000000.0
Reconciled Depreciation,65756000000.0,52795000000.0,48663000000.0,41921000000.0
Reconciled Cost Of Revenue,356414000000.0,326288000000.0,304739000000.0,288831000000.0
EBITDA,165341000000.0,123815000000.0,89402000000.0,38352000000.0
EBIT,99585000000.0,71020000000.0,40739000000.0,-3569000000.0
Net Interest Income,2107000000.0,2271000000.0,-233000000.0,-1378000000.0
Interest Expense,2274000000.0,2406000000.0,3182000000.0,2367000000.0
Interest Income,4381000000.0,4677000000.0,2949000000.0,989000000.0
Normalized Income,65354930994.440506,60836083539.802376,29574057432.702293,10128140000.0
Net Income From Continuing And Discontinued Operation,77670000000.0,59248000000.0,30425000000.0,-2722000000.0
Total Expenses,636949000000.0,569366000000.0,537933000000.0,501735000000.0
Total Operating Income As Reported,79975000000.0,68593000000.0,36852000000.0,12248000000.0
Diluted Average Shares,10827000000.0,10721000000.0,10492000000.0,10189000000.0
Basic Average Shares,10656000000.0,10473000000.0,10304000000.0,10189000000.0
Diluted EPS,7.17,5.53,2.9,-0.27
Basic EPS,7.29,5.66,2.95,-0.27
Diluted NI Availto Com Stockholders,77670000000.0,59248000000.0,30425000000.0,-2722000000.0
Net Income Common Stockholders,77670000000.0,59248000000.0,30425000000.0,-2722000000.0
Net Income,77670000000.0,59248000000.0,30425000000.0,-2722000000.0
Net Income Including Noncontrolling Interests,77670000000.0,59248000000.0,30425000000.0,-2722000000.0
Net Income Continuous Operations,77670000000.0,59248000000.0,30425000000.0,-2722000000.0
Earnings From Equity Interest Net Of Tax,-554000000.0,-101000000.0,-12000000.0,-3000000.0
Tax Provision,19087000000.0,9265000000.0,7120000000.0,-3217000000.0
Pretax Income,97311000000.0,68614000000.0,37557000000.0,-5936000000.0
Other Income Expense,15229000000.0,-2250000000.0,938000000.0,-16806000000.0
Other Non Operating Income Expenses,-91000000.0,-414000000.0,-112000000.0,-540000000.0
Gain On Sale Of Security,15320000000.0,-1836000000.0,1050000000.0,-16266000000.0
Net Non Operating Interest Income Expense,2107000000.0,2271000000.0,-233000000.0,-1378000000.0
Interest Expense Non Operating,2274000000.0,2406000000.0,3182000000.0,2367000000.0
Interest Income Non Operating,4381000000.0,4677000000.0,2949000000.0,989000000.0
Operating Income,79975000000.0,68593000000.0,36852000000.0,12248000000.0
Operating Expense,280535000000.0,243078000000.0,233194000000.0,212904000000.0
Other Operating Expenses,222234000000.0,187812000000.0,177008000000.0,158775000000.0
Selling General And Administration,58301000000.0,55266000000.0,56186000000.0,54129000000.0
Selling And Marketing Expense,47129000000.0,43907000000.0,44370000000.0,42238000000.0
General And Administrative Expense,11172000000.0,11359000000.0,11816000000.0,11891000000.0
Other Gand A,11172000000.0,11359000000.0,11816000000.0,11891000000.0
Gross Profit,360510000000.0,311671000000.0,270046000000.0,225152000000.0
Cost Of Revenue,356414000000.0,326288000000.0,304739000000.0,288831000000.0
Total Revenue,716924000000.0,637959000000.0,574785000000.0,513983000000.0
Operating Revenue,716924000000.0,637959000000.0,574785000000.0,513983000000.0
