,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.191,0.188,0.064,0.111,
Total Unusual Items,,,-2100000000.0,,
Total Unusual Items Excluding Goodwill,,,-2100000000.0,,
Net Income From Continuing Operation Net Minority Interest,30509000000.0,26973000000.0,26305000000.0,27528000000.0,
Reconciled Depreciation,2314000000.0,2189000000.0,2057000000.0,1978000000.0,
Net Interest Income,60096000000.0,56060000000.0,56931000000.0,52462000000.0,
Interest Expense,78470000000.0,90547000000.0,73331000000.0,20103000000.0,
Interest Income,138566000000.0,146607000000.0,130262000000.0,72565000000.0,
Normalized Income,30509000000.0,26973000000.0,26305000000.0,27528000000.0,
Net Income From Continuing And Discontinued Operation,30509000000.0,26973000000.0,26305000000.0,27528000000.0,
Diluted Average Shares,7680900000.0,7935800000.0,8080500000.0,8167500000.0,
Basic Average Shares,7521900000.0,7855500000.0,8028600000.0,8113700000.0,
Diluted EPS,3.81,3.21,3.08,3.19,
Basic EPS,3.86,3.25,3.1,3.21,
Diluted NI Availto Com Stockholders,29055000000.0,25344000000.0,24656000000.0,26015000000.0,
Net Income Common Stockholders,29055000000.0,25344000000.0,24656000000.0,26015000000.0,
Otherunder Preferred Stock Dividend,,,,1513000000.0,1421000000.0
Preferred Stock Dividends,1454000000.0,1629000000.0,1649000000.0,1513000000.0,
Net Income,30509000000.0,26973000000.0,26305000000.0,27528000000.0,
Net Income Including Noncontrolling Interests,30509000000.0,26973000000.0,26305000000.0,27528000000.0,
Net Income Continuous Operations,30509000000.0,26973000000.0,26305000000.0,27528000000.0,
Tax Provision,7186000000.0,6250000000.0,6225000000.0,3441000000.0,
Pretax Income,37695000000.0,33223000000.0,32530000000.0,30969000000.0,
Special Income Charges,,,-2100000000.0,,
Other Special Charges,,,2100000000.0,,
Gain On Sale Of Security,0.0,0.0,0.0,0.0,
Selling General And Administration,52246000000.0,49623000000.0,49815000000.0,45946000000.0,
Selling And Marketing Expense,6128000000.0,5450000000.0,5535000000.0,5478000000.0,
General And Administrative Expense,46118000000.0,44173000000.0,44280000000.0,40468000000.0,
Other Gand A,3772000000.0,3991000000.0,5950000000.0,4021000000.0,
Salaries And Wages,42346000000.0,40182000000.0,38330000000.0,36447000000.0,
Total Revenue,113097000000.0,105856000000.0,102769000000.0,94950000000.0,
Operating Revenue,113097000000.0,105856000000.0,102769000000.0,94950000000.0,
Occupancy And Equipment,7448000000.0,7289000000.0,7164000000.0,7071000000.0,
Professional Expense And Contract Services Expense,2580000000.0,2669000000.0,2159000000.0,2142000000.0,
Other Non Interest Expense,7453000000.0,7231000000.0,6707000000.0,6279000000.0,
