,2025-08-31,2024-08-31,2023-08-31,2022-08-31,2021-08-31
Tax Effect Of Unusual Items,21084000.0,6344000.0,7511000.0,26076000.0,
Tax Rate For Calcs,0.251,0.244,0.259,0.246,
Normalized EBITDA,13314000000.0,12120000000.0,10695000000.0,9792000000.0,
Total Unusual Items,84000000.0,26000000.0,29000000.0,106000000.0,
Total Unusual Items Excluding Goodwill,84000000.0,26000000.0,29000000.0,106000000.0,
Net Income From Continuing Operation Net Minority Interest,8099000000.0,7367000000.0,6292000000.0,5844000000.0,
Reconciled Depreciation,2426000000.0,2237000000.0,2077000000.0,1900000000.0,
Reconciled Cost Of Revenue,239886000000.0,222358000000.0,212586000000.0,199382000000.0,
EBITDA,13398000000.0,12146000000.0,10724000000.0,9898000000.0,
EBIT,10972000000.0,9909000000.0,8647000000.0,7998000000.0,
Net Interest Income,351000000.0,429000000.0,344000000.0,-59000000.0,
Interest Expense,154000000.0,169000000.0,160000000.0,158000000.0,
Interest Income,505000000.0,533000000.0,470000000.0,61000000.0,
Normalized Income,8036084000.0,7347344000.0,6270511000.0,5764076000.0,
Net Income From Continuing And Discontinued Operation,8099000000.0,7367000000.0,6292000000.0,5844000000.0,
Total Expenses,264852000000.0,245168000000.0,234176000000.0,219161000000.0,
Total Operating Income As Reported,10383000000.0,9285000000.0,8114000000.0,7793000000.0,
Diluted Average Shares,444803000.0,444759000.0,444452000.0,444757000.0,
Basic Average Shares,443985000.0,443914000.0,443854000.0,443651000.0,
Diluted EPS,18.21,16.56,14.16,13.14,
Basic EPS,18.24,16.59,14.18,13.17,
Diluted NI Availto Com Stockholders,8099000000.0,7367000000.0,6292000000.0,5844000000.0,
Net Income Common Stockholders,8099000000.0,7367000000.0,6292000000.0,5844000000.0,
Net Income,8099000000.0,7367000000.0,6292000000.0,5844000000.0,
Minority Interests,,0.0,0.0,-71000000.0,-72000000.0
Net Income Including Noncontrolling Interests,8099000000.0,7367000000.0,6292000000.0,5915000000.0,
Net Income Continuous Operations,8099000000.0,7367000000.0,6292000000.0,5915000000.0,
Tax Provision,2719000000.0,2373000000.0,2195000000.0,1925000000.0,
Pretax Income,10818000000.0,9740000000.0,8487000000.0,7840000000.0,
Other Income Expense,84000000.0,26000000.0,29000000.0,106000000.0,
Other Non Operating Income Expenses,,,,38000000.0,46000000.0
Gain On Sale Of Security,84000000.0,26000000.0,29000000.0,106000000.0,
Net Non Operating Interest Income Expense,351000000.0,429000000.0,344000000.0,-59000000.0,
Total Other Finance Cost,,-65000000.0,-34000000.0,-38000000.0,-46000000.0
Interest Expense Non Operating,154000000.0,169000000.0,160000000.0,158000000.0,
Interest Income Non Operating,505000000.0,533000000.0,470000000.0,61000000.0,
Operating Income,10383000000.0,9285000000.0,8114000000.0,7793000000.0,
Operating Expense,24966000000.0,22810000000.0,21590000000.0,19779000000.0,
Other Operating Expenses,,,,,76000000.0
Selling General And Administration,24966000000.0,22810000000.0,21590000000.0,19779000000.0,
Gross Profit,35349000000.0,32095000000.0,29704000000.0,27572000000.0,
Cost Of Revenue,239886000000.0,222358000000.0,212586000000.0,199382000000.0,
Total Revenue,275235000000.0,254453000000.0,242290000000.0,226954000000.0,
Operating Revenue,275235000000.0,254453000000.0,242290000000.0,226954000000.0,
