,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,1044544581.197631,-1106546713.010128,-92230000.0,-162932000.0,
Tax Rate For Calcs,0.177312,0.157068,0.115,0.154,
Normalized EBITDA,35164000000.0,31826000000.0,24122000000.0,27663000000.0,
Total Unusual Items,5891000000.0,-7045000000.0,-802000000.0,-1058000000.0,
Total Unusual Items Excluding Goodwill,5891000000.0,-7045000000.0,-802000000.0,-1058000000.0,
Net Income From Continuing Operation Net Minority Interest,26804000000.0,14066000000.0,13326000000.0,16370000000.0,
Reconciled Depreciation,7503000000.0,7339000000.0,7486000000.0,6970000000.0,
Reconciled Cost Of Revenue,30256000000.0,27471000000.0,26553000000.0,24596000000.0,
EBITDA,41055000000.0,24781000000.0,23320000000.0,26605000000.0,
EBIT,33552000000.0,17442000000.0,15834000000.0,19635000000.0,
Net Interest Income,85000000.0,577000000.0,489000000.0,214000000.0,
Interest Expense,971000000.0,755000000.0,772000000.0,276000000.0,
Interest Income,1056000000.0,1332000000.0,1261000000.0,490000000.0,
Normalized Income,21957544581.19763,20004453286.989872,14035770000.0,17265068000.0,
Net Income From Continuing And Discontinued Operation,26804000000.0,14066000000.0,35153000000.0,17941000000.0,
Total Expenses,68597000000.0,67572000000.0,63150000000.0,58977000000.0,
Diluted Average Shares,2429400000.0,2429400000.0,2560400000.0,2663900000.0,
Basic Average Shares,2407939000.0,2406922000.0,2407078000.0,2613597000.0,
Diluted EPS,11.03,5.79,13.72,6.73,
Basic EPS,11.131511,5.843978,14.604014,6.862158,
Diluted NI Availto Com Stockholders,26804000000.0,14066000000.0,35153000000.0,17941000000.0,
Net Income Common Stockholders,26804000000.0,14066000000.0,35153000000.0,17941000000.0,
Net Income,26804000000.0,14066000000.0,35153000000.0,17941000000.0,
Net Income Including Noncontrolling Interests,26804000000.0,14066000000.0,35153000000.0,17941000000.0,
Net Income Discontinuous Operations,0.0,0.0,21827000000.0,1571000000.0,
Net Income Continuous Operations,26804000000.0,14066000000.0,13326000000.0,16370000000.0,
Tax Provision,5777000000.0,2621000000.0,1736000000.0,2989000000.0,
Pretax Income,32581000000.0,16687000000.0,15062000000.0,19359000000.0,
Other Income Expense,6891000000.0,-5145000000.0,-7436000000.0,-1868000000.0,
Other Non Operating Income Expenses,1000000000.0,1900000000.0,-6634000000.0,-810000000.0,
Special Income Charges,5491000000.0,-6745000000.0,-802000000.0,-1058000000.0,
Other Special Charges,-6000000000.0,5500000000.0,7300000000.0,2600000000.0,
Impairment Of Capital Assets,81000000.0,211000000.0,313000000.0,783000000.0,
Restructuring And Mergern Acquisition,428000000.0,1034000000.0,489000000.0,275000000.0,
Gain On Sale Of Security,400000000.0,-300000000.0,-600000000.0,-700000000.0,
Net Non Operating Interest Income Expense,85000000.0,577000000.0,489000000.0,214000000.0,
Interest Expense Non Operating,971000000.0,755000000.0,772000000.0,276000000.0,
Interest Income Non Operating,1056000000.0,1332000000.0,1261000000.0,490000000.0,
Operating Income,25596000000.0,21249000000.0,22009000000.0,21013000000.0,
Operating Expense,38341000000.0,40101000000.0,36597000000.0,34381000000.0,
Research And Development,14665000000.0,17232000000.0,15085000000.0,14135000000.0,
Selling General And Administration,23676000000.0,22869000000.0,21512000000.0,20246000000.0,
General And Administrative Expense,,22869000000.0,21512000000.0,20246000000.0,20118000000.0
Other Gand A,,22869000000.0,21512000000.0,20246000000.0,20118000000.0
Salaries And Wages,,-900000000.0,-1400000000.0,-1200000000.0,-600000000.0
Gross Profit,63937000000.0,61350000000.0,58606000000.0,55394000000.0,
Cost Of Revenue,30256000000.0,27471000000.0,26553000000.0,24596000000.0,
Total Revenue,94193000000.0,88821000000.0,85159000000.0,79990000000.0,
Operating Revenue,94193000000.0,88821000000.0,85159000000.0,79990000000.0,
