,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,220585577.519113,1294403510.874922,-447272000.0,119232000.0
Tax Rate For Calcs,0.214161,0.221228,0.196,0.184
Total Unusual Items,1030000000.0,5851000000.0,-2282000000.0,648000000.0
Total Unusual Items Excluding Goodwill,1030000000.0,5851000000.0,-2282000000.0,648000000.0
Net Income From Continuing Operation Net Minority Interest,57048000000.0,58471000000.0,49552000000.0,37676000000.0
Reconciled Depreciation,8821000000.0,7938000000.0,7512000000.0,7051000000.0
Net Interest Income,95443000000.0,92583000000.0,89267000000.0,66710000000.0
Interest Expense,97898000000.0,101350000000.0,81321000000.0,26097000000.0
Interest Income,193341000000.0,193933000000.0,170588000000.0,92807000000.0
Normalized Income,56238585577.51911,53914403510.87492,51386728000.0,37147232000.0
Net Income From Continuing And Discontinued Operation,57048000000.0,58471000000.0,49552000000.0,37676000000.0
Diluted Average Shares,2781500000.0,2879000000.0,2943100000.0,2970000000.0
Basic Average Shares,2776500000.0,2873900000.0,2938600000.0,2965800000.0
Diluted EPS,20.02,19.75,16.23,12.09
Basic EPS,20.05,19.79,16.25,12.1
Diluted NI Availto Com Stockholders,55681000000.0,56868000000.0,47760000000.0,35892000000.0
Net Income Common Stockholders,55681000000.0,56868000000.0,47760000000.0,35892000000.0
Otherunder Preferred Stock Dividend,268000000.0,344000000.0,291000000.0,189000000.0
Preferred Stock Dividends,1099000000.0,1259000000.0,1501000000.0,1595000000.0
Net Income,57048000000.0,58471000000.0,49552000000.0,37676000000.0
Net Income Including Noncontrolling Interests,57048000000.0,58471000000.0,49552000000.0,37676000000.0
Net Income Continuous Operations,57048000000.0,58471000000.0,49552000000.0,37676000000.0
Tax Provision,15547000000.0,16610000000.0,12060000000.0,8490000000.0
Pretax Income,72595000000.0,75081000000.0,61612000000.0,46166000000.0
Special Income Charges,1030000000.0,5851000000.0,-2282000000.0,648000000.0
Other Special Charges,-402000000.0,-6525000000.0,4336000000.0,-648000000.0
Restructuring And Mergern Acquisition,-628000000.0,674000000.0,-2054000000.0,0.0
Gain On Sale Of Security,-29000000.0,-1045000000.0,-3218000000.0,-2434000000.0
Selling General And Administration,60018000000.0,56331000000.0,51056000000.0,45547000000.0
Selling And Marketing Expense,5531000000.0,4974000000.0,4591000000.0,3911000000.0
General And Administrative Expense,54487000000.0,51357000000.0,46465000000.0,41636000000.0
Salaries And Wages,54487000000.0,51357000000.0,46465000000.0,41636000000.0
Total Revenue,181847000000.0,169439000000.0,154952000000.0,127727000000.0
Operating Revenue,181847000000.0,169439000000.0,154952000000.0,127727000000.0
Occupancy And Equipment,16490000000.0,14857000000.0,13836000000.0,14054000000.0
Professional Expense And Contract Services Expense,12356000000.0,11057000000.0,10235000000.0,10174000000.0
Other Non Interest Expense,7178000000.0,7310000000.0,6649000000.0,6099000000.0
