,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,104348182.283666,-81075952.054116,-64416000.0,-15795000.0,
Tax Rate For Calcs,0.296444,0.117501,0.176,0.195,
Normalized EBITDA,105361000000.0,87566000000.0,59418000000.0,37771000000.0,
Total Unusual Items,352000000.0,-690000000.0,-366000000.0,-81000000.0,
Total Unusual Items Excluding Goodwill,352000000.0,-690000000.0,-366000000.0,-81000000.0,
Net Income From Continuing Operation Net Minority Interest,60458000000.0,62360000000.0,39098000000.0,23200000000.0,
Reconciled Depreciation,18616000000.0,15498000000.0,11178000000.0,8686000000.0,
Reconciled Cost Of Revenue,36175000000.0,30161000000.0,25959000000.0,25249000000.0,
EBITDA,105713000000.0,86876000000.0,59052000000.0,37690000000.0,
EBIT,87097000000.0,71378000000.0,47874000000.0,29004000000.0,
Net Interest Income,958000000.0,1802000000.0,1193000000.0,276000000.0,
Interest Expense,1165000000.0,715000000.0,446000000.0,185000000.0,
Interest Income,2123000000.0,2517000000.0,1639000000.0,461000000.0,
Normalized Income,60210348182.28367,62968924047.945885,39399584000.0,23265205000.0,
Net Income From Continuing And Discontinued Operation,60458000000.0,62360000000.0,39098000000.0,23200000000.0,
Total Expenses,117690000000.0,95121000000.0,88151000000.0,87665000000.0,
Total Operating Income As Reported,83276000000.0,69380000000.0,46751000000.0,28944000000.0,
Diluted Average Shares,2574000000.0,2614000000.0,2629000000.0,2702000000.0,
Basic Average Shares,2521000000.0,2534000000.0,2574000000.0,2687000000.0,
Diluted EPS,23.49,23.86,14.87,8.59,
Basic EPS,23.98,24.61,15.19,8.63,
Diluted NI Availto Com Stockholders,60458000000.0,62360000000.0,39098000000.0,23200000000.0,
Net Income Common Stockholders,60458000000.0,62360000000.0,39098000000.0,23200000000.0,
Net Income,60458000000.0,62360000000.0,39098000000.0,23200000000.0,
Net Income Including Noncontrolling Interests,60458000000.0,62360000000.0,39098000000.0,23200000000.0,
Net Income Continuous Operations,60458000000.0,62360000000.0,39098000000.0,23200000000.0,
Tax Provision,25474000000.0,8303000000.0,8330000000.0,5619000000.0,
Pretax Income,85932000000.0,70663000000.0,47428000000.0,28819000000.0,
Other Income Expense,1698000000.0,-519000000.0,-516000000.0,-401000000.0,
Other Non Operating Income Expenses,1346000000.0,171000000.0,-150000000.0,-320000000.0,
Special Income Charges,,,,,0.0
Gain On Sale Of Security,352000000.0,-690000000.0,-366000000.0,-81000000.0,
Net Non Operating Interest Income Expense,958000000.0,1802000000.0,1193000000.0,276000000.0,
Total Other Finance Cost,-1346000000.0,-171000000.0,150000000.0,320000000.0,
Interest Expense Non Operating,1165000000.0,715000000.0,446000000.0,185000000.0,
Interest Income Non Operating,2123000000.0,2517000000.0,1639000000.0,461000000.0,
Operating Income,83276000000.0,69380000000.0,46751000000.0,28944000000.0,
Operating Expense,81515000000.0,64960000000.0,62192000000.0,62416000000.0,
Research And Development,57372000000.0,43873000000.0,38483000000.0,35338000000.0,
Selling General And Administration,24143000000.0,21087000000.0,23709000000.0,27078000000.0,
Selling And Marketing Expense,11991000000.0,11347000000.0,12301000000.0,15262000000.0,
General And Administrative Expense,12152000000.0,9740000000.0,11408000000.0,11816000000.0,
Other Gand A,12152000000.0,9740000000.0,11408000000.0,11816000000.0,
Gross Profit,164791000000.0,134340000000.0,108943000000.0,91360000000.0,
Cost Of Revenue,36175000000.0,30161000000.0,25959000000.0,25249000000.0,
Total Revenue,200966000000.0,164501000000.0,134902000000.0,116609000000.0,
Operating Revenue,198382000000.0,162779000000.0,133844000000.0,115801000000.0,
