,2026-01-31,2025-01-31,2024-01-31,2023-01-31,2022-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.244291,0.233836,0.255,0.336,
Normalized EBITDA,46471000000.0,42010000000.0,36384000000.0,30089000000.0,
Total Unusual Items,,,0.0,0.0,-2410000000.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0,-2410000000.0
Net Income From Continuing Operation Net Minority Interest,21893000000.0,19436000000.0,15511000000.0,11680000000.0,
Reconciled Depreciation,14203000000.0,12973000000.0,11853000000.0,10945000000.0,
Reconciled Cost Of Revenue,535395000000.0,511753000000.0,490142000000.0,463721000000.0,
EBITDA,46471000000.0,42010000000.0,36384000000.0,30089000000.0,
EBIT,32268000000.0,29037000000.0,24531000000.0,19144000000.0,
Net Interest Income,-2431000000.0,-2245000000.0,-2137000000.0,-1874000000.0,
Interest Expense,2799000000.0,2728000000.0,2683000000.0,2128000000.0,
Interest Income,368000000.0,483000000.0,546000000.0,254000000.0,
Normalized Income,21893000000.0,19436000000.0,15511000000.0,11680000000.0,
Net Income From Continuing And Discontinued Operation,21893000000.0,19436000000.0,15511000000.0,11680000000.0,
Total Expenses,683338000000.0,651637000000.0,621113000000.0,590861000000.0,
Total Operating Income As Reported,29825000000.0,29348000000.0,27012000000.0,20428000000.0,
Diluted Average Shares,8022000000.0,8081000000.0,8109000000.0,8202000000.0,
Basic Average Shares,7983000000.0,8041000000.0,8076000000.0,8172000000.0,
Diluted EPS,2.73,2.41,1.913333,1.423333,
Basic EPS,2.74,2.42,1.92,1.43,
Diluted NI Availto Com Stockholders,21893000000.0,19436000000.0,15511000000.0,11680000000.0,
Net Income Common Stockholders,21893000000.0,19436000000.0,15511000000.0,11680000000.0,
Net Income,21893000000.0,19436000000.0,15511000000.0,11680000000.0,
Minority Interests,-377000000.0,-721000000.0,-759000000.0,388000000.0,
Net Income Including Noncontrolling Interests,22270000000.0,20157000000.0,16270000000.0,11292000000.0,
Net Income Continuous Operations,22270000000.0,20157000000.0,16270000000.0,11292000000.0,
Tax Provision,7199000000.0,6152000000.0,5578000000.0,5724000000.0,
Pretax Income,29469000000.0,26309000000.0,21848000000.0,17016000000.0,
Other Income Expense,2075000000.0,-794000000.0,-3027000000.0,-1538000000.0,
Other Non Operating Income Expenses,2075000000.0,-794000000.0,-3027000000.0,-1538000000.0,
Special Income Charges,,,0.0,0.0,-2410000000.0
Other Special Charges,,,,,2410000000.0
Net Non Operating Interest Income Expense,-2431000000.0,-2245000000.0,-2137000000.0,-1874000000.0,
Interest Expense Non Operating,2799000000.0,2728000000.0,2683000000.0,2128000000.0,
Interest Income Non Operating,368000000.0,483000000.0,546000000.0,254000000.0,
Operating Income,29825000000.0,29348000000.0,27012000000.0,20428000000.0,
Operating Expense,147943000000.0,139884000000.0,130971000000.0,127140000000.0,
Other Operating Expenses,147943000000.0,139884000000.0,130971000000.0,127140000000.0,
Selling General And Administration,,139884000000.0,130971000000.0,127140000000.0,117812000000.0
Gross Profit,177768000000.0,169232000000.0,157983000000.0,147568000000.0,
Cost Of Revenue,535395000000.0,511753000000.0,490142000000.0,463721000000.0,
Total Revenue,713163000000.0,680985000000.0,648125000000.0,611289000000.0,
Operating Revenue,713163000000.0,680985000000.0,648125000000.0,611289000000.0,
