Company,Year,Revenue,NetIncome,NetMargin
AAPL,2025-09-30,416161000000.0,112010000000.0,26.92
AAPL,2024-09-30,391035000000.0,93736000000.0,23.97
AAPL,2023-09-30,383285000000.0,96995000000.0,25.31
AAPL,2022-09-30,394328000000.0,99803000000.0,25.31
MSFT,2025-06-30,281724000000.0,101832000000.0,36.15
MSFT,2024-06-30,245122000000.0,88136000000.0,35.96
MSFT,2023-06-30,211915000000.0,72361000000.0,34.15
MSFT,2022-06-30,198270000000.0,72738000000.0,36.69
GOOGL,2025-12-31,402836000000.0,132170000000.0,32.81
GOOGL,2024-12-31,350018000000.0,100118000000.0,28.6
GOOGL,2023-12-31,307394000000.0,73795000000.0,24.01
GOOGL,2022-12-31,282836000000.0,59972000000.0,21.2
AMZN,2025-12-31,716924000000.0,77670000000.0,10.83
AMZN,2024-12-31,637959000000.0,59248000000.0,9.29
AMZN,2023-12-31,574785000000.0,30425000000.0,5.29
AMZN,2022-12-31,513983000000.0,-2722000000.0,-0.53
NVDA,2026-01-31,215938000000.0,120067000000.0,55.6
NVDA,2025-01-31,130497000000.0,72880000000.0,55.85
NVDA,2024-01-31,60922000000.0,29760000000.0,48.85
NVDA,2023-01-31,26974000000.0,4368000000.0,16.19
META,2025-12-31,200966000000.0,60458000000.0,30.08
META,2024-12-31,164501000000.0,62360000000.0,37.91
META,2023-12-31,134902000000.0,39098000000.0,28.98
META,2022-12-31,116609000000.0,23200000000.0,19.9
JPM,2025-12-31,181847000000.0,57048000000.0,31.37
JPM,2024-12-31,169439000000.0,58471000000.0,34.51
JPM,2023-12-31,154952000000.0,49552000000.0,31.98
JPM,2022-12-31,127727000000.0,37676000000.0,29.5
BAC,2025-12-31,113097000000.0,30509000000.0,26.98
BAC,2024-12-31,105856000000.0,26973000000.0,25.48
BAC,2023-12-31,102769000000.0,26305000000.0,25.6
BAC,2022-12-31,94950000000.0,27528000000.0,28.99
WMT,2026-01-31,713163000000.0,21893000000.0,3.07
WMT,2025-01-31,680985000000.0,19436000000.0,2.85
WMT,2024-01-31,648125000000.0,15511000000.0,2.39
WMT,2023-01-31,611289000000.0,11680000000.0,1.91
COST,2025-08-31,275235000000.0,8099000000.0,2.94
COST,2024-08-31,254453000000.0,7367000000.0,2.9
COST,2023-08-31,242290000000.0,6292000000.0,2.6
COST,2022-08-31,226954000000.0,5844000000.0,2.57
XOM,2025-12-31,323905000000.0,28844000000.0,8.91
XOM,2024-12-31,339247000000.0,33680000000.0,9.93
XOM,2023-12-31,334697000000.0,36010000000.0,10.76
XOM,2022-12-31,398675000000.0,55740000000.0,13.98
JNJ,2025-12-31,94193000000.0,26804000000.0,28.46
JNJ,2024-12-31,88821000000.0,14066000000.0,15.84
JNJ,2023-12-31,85159000000.0,35153000000.0,41.28
JNJ,2022-12-31,79990000000.0,17941000000.0,22.43
