Company,Year,Revenue
AAPL,2025-09-30,416161000000.0
AAPL,2024-09-30,391035000000.0
AAPL,2023-09-30,383285000000.0
AAPL,2022-09-30,394328000000.0
AAPL,2021-09-30,
MSFT,2025-06-30,281724000000.0
MSFT,2024-06-30,245122000000.0
MSFT,2023-06-30,211915000000.0
MSFT,2022-06-30,198270000000.0
GOOGL,2025-12-31,402836000000.0
GOOGL,2024-12-31,350018000000.0
GOOGL,2023-12-31,307394000000.0
GOOGL,2022-12-31,282836000000.0
AMZN,2025-12-31,716924000000.0
AMZN,2024-12-31,637959000000.0
AMZN,2023-12-31,574785000000.0
AMZN,2022-12-31,513983000000.0
NVDA,2026-01-31,215938000000.0
NVDA,2025-01-31,130497000000.0
NVDA,2024-01-31,60922000000.0
NVDA,2023-01-31,26974000000.0
NVDA,2022-01-31,
META,2025-12-31,200966000000.0
META,2024-12-31,164501000000.0
META,2023-12-31,134902000000.0
META,2022-12-31,116609000000.0
META,2021-12-31,
JPM,2025-12-31,181847000000.0
JPM,2024-12-31,169439000000.0
JPM,2023-12-31,154952000000.0
JPM,2022-12-31,127727000000.0
BAC,2025-12-31,113097000000.0
BAC,2024-12-31,105856000000.0
BAC,2023-12-31,102769000000.0
BAC,2022-12-31,94950000000.0
BAC,2021-12-31,
WMT,2026-01-31,713163000000.0
WMT,2025-01-31,680985000000.0
WMT,2024-01-31,648125000000.0
WMT,2023-01-31,611289000000.0
WMT,2022-01-31,
COST,2025-08-31,275235000000.0
COST,2024-08-31,254453000000.0
COST,2023-08-31,242290000000.0
COST,2022-08-31,226954000000.0
COST,2021-08-31,
XOM,2025-12-31,323905000000.0
XOM,2024-12-31,339247000000.0
XOM,2023-12-31,334697000000.0
XOM,2022-12-31,398675000000.0
XOM,2021-12-31,
JNJ,2025-12-31,94193000000.0
JNJ,2024-12-31,88821000000.0
JNJ,2023-12-31,85159000000.0
JNJ,2022-12-31,79990000000.0
JNJ,2021-12-31,
